date (UTC)	so2_110
8.03.2016 0:15	0
8.03.2016 0:45	0,393
8.03.2016 1:15	0
8.03.2016 1:45	0,722246667
8.03.2016 2:15	0,655
8.03.2016 2:45	0
8.03.2016 3:15	0,342346667
8.03.2016 3:45	0,461993333
8.03.2016 4:15	1,034026667
8.03.2016 4:45	0,452386667
8.03.2016 5:15	0
8.03.2016 5:45	0,04716
8.03.2016 6:15	0,653253333
8.03.2016 6:45	1,203453333
8.03.2016 7:15	0,570286667
8.03.2016 7:45	1,073326667
8.03.2016 8:15	0,967653333
8.03.2016 8:45	1,759766667
8.03.2016 9:15	0
8.03.2016 9:45	0,193006667
8.03.2016 10:15	1,263713333
8.03.2016 10:45	0
8.03.2016 11:15	0
8.03.2016 11:45	0,22794
8.03.2016 12:15	0,42182
8.03.2016 12:45	0,512646667
8.03.2016 13:15	0,769406667
8.03.2016 13:45	0,599106667
8.03.2016 14:15	0,705653333
8.03.2016 14:45	0,053273333
8.03.2016 15:15	0,71526
8.03.2016 15:45	0,38776
8.03.2016 16:15	0,307413333
8.03.2016 16:45	0,98512
8.03.2016 17:15	0
8.03.2016 17:45	0,250646667
8.03.2016 18:15	0,483826667
8.03.2016 18:45	0,65238
8.03.2016 19:15	0,645393333
8.03.2016 19:45	0,32226
8.03.2016 20:15	0
8.03.2016 20:45	0,991233333
8.03.2016 21:15	0,937086667
8.03.2016 21:45	0
8.03.2016 22:15	0,853246667
8.03.2016 22:45	0,21484
8.03.2016 23:15	0,113533333
8.03.2016 23:45	1,227033333
9.03.2016 0:15	1,279433333
9.03.2016 0:45	0,468106667
9.03.2016 1:15	0
9.03.2016 1:45	0
9.03.2016 2:15	0,71002
9.03.2016 2:45	0
9.03.2016 3:15	0,414833333
9.03.2016 3:45	1,45934
9.03.2016 4:15	0,668973333
9.03.2016 4:45	1,65322
9.03.2016 5:15	0
9.03.2016 5:45	0,676833333
9.03.2016 6:15	1,259346667
9.03.2016 6:45	1,55366
9.03.2016 7:15	1,212186667
9.03.2016 7:45	0,287326667
9.03.2016 8:15	1,350173333
9.03.2016 8:45	0
9.03.2016 9:15	0,57116
9.03.2016 9:45	0,027073333
9.03.2016 10:15	0,671593333
9.03.2016 10:45	0
9.03.2016 11:15	1,411306667
9.03.2016 11:45	0,0655
9.03.2016 12:15	0,93534
9.03.2016 12:45	0,316146667
9.03.2016 13:15	1,539686667
9.03.2016 13:45	0
9.03.2016 14:15	0,930973333
9.03.2016 14:45	0,56592
9.03.2016 15:15	0,496926667
9.03.2016 15:45	0
9.03.2016 16:15	0,818313333
9.03.2016 16:45	0,248026667
9.03.2016 17:15	0
9.03.2016 17:45	0
9.03.2016 18:15	0,515266667
9.03.2016 18:45	0,8515
9.03.2016 19:15	0
9.03.2016 19:45	0,38252
9.03.2016 20:15	0,616573333
9.03.2016 20:45	1,476806667
9.03.2016 21:15	0,3275
9.03.2016 21:45	0,003493333
9.03.2016 22:15	0,06026
9.03.2016 22:45	0,8122
9.03.2016 23:15	0,410466667
9.03.2016 23:45	0,47291
10.03.2016 0:15	2,02526
10.03.2016 0:45	2,299486667
10.03.2016 1:15	3,43744
10.03.2016 1:45	1,799066667
10.03.2016 2:15	3,981526667
10.03.2016 2:45	4,657486667
10.03.2016 3:15	1,68204
10.03.2016 3:45	2,021766667
10.03.2016 4:15	2,19032
10.03.2016 4:45	1,111753333
10.03.2016 5:15	0,761546667
10.03.2016 5:45	0
10.03.2016 6:15	1,23926
10.03.2016 6:45	0,575526667
10.03.2016 7:15	0,61046
10.03.2016 7:45	0,334486667
10.03.2016 8:15	0
10.03.2016 8:45	0,226193333
10.03.2016 9:15	0,163313333
10.03.2016 9:45	0,824426667
10.03.2016 10:15	0,048906667
10.03.2016 10:45	0,32488
10.03.2016 11:15	0
10.03.2016 11:45	0
10.03.2016 12:15	0
10.03.2016 12:45	0
10.03.2016 13:15	1,02442
10.03.2016 13:45	3,493333333
10.03.2016 14:15	18,01686667
10.03.2016 14:45	40,17246
10.03.2016 15:15	42,15842
10.03.2016 15:45	35,41628667
10.03.2016 16:15	17,67102667
10.03.2016 16:45	6,878373333
10.03.2016 17:15	5,1221
10.03.2016 17:45	2,260186667
10.03.2016 18:15	1,166773333
10.03.2016 18:45	1,200833333
10.03.2016 19:15	1,093413333
10.03.2016 19:45	0,426186667
10.03.2016 20:15	1,378993333
10.03.2016 20:45	0,054146667
10.03.2016 21:15	1,79994
10.03.2016 21:45	1,26022
10.03.2016 22:15	0,718753333
10.03.2016 22:45	0
10.03.2016 23:15	0,381646667
10.03.2016 23:45	1,271573333
11.03.2016 0:15	1,03228
11.03.2016 0:45	1,2969
11.03.2016 1:15	0,472473333
11.03.2016 1:45	0
11.03.2016 2:15	0,929226667
11.03.2016 2:45	0,47946
11.03.2016 3:15	0
11.03.2016 3:45	0,527493333
11.03.2016 4:15	0
11.03.2016 4:45	0
11.03.2016 5:15	0
11.03.2016 5:45	1,051493333
11.03.2016 6:15	0
11.03.2016 6:45	0,249773333
11.03.2016 7:15	0,752813333
11.03.2016 7:45	0,01572
11.03.2016 8:15	0
11.03.2016 8:45	0
11.03.2016 9:15	0
11.03.2016 9:45	1,033153333
11.03.2016 10:15	0,247153333
11.03.2016 10:45	0,896913333
11.03.2016 11:15	0,88556
11.03.2016 11:45	0,12314
11.03.2016 12:15	0
11.03.2016 12:45	0,15458
11.03.2016 13:15	1,07682
11.03.2016 13:45	2,806893333
11.03.2016 14:15	11,02583333
11.03.2016 14:45	10,08874667
11.03.2016 15:15	7,79974
11.03.2016 15:45	2,44184
11.03.2016 16:15	3,794633333
11.03.2016 16:45	1,484666667
