#      date     time    lon    lat    lev     name    value 
 2019-07-31 18:00:00 27.3082 58.2776     10 temperature 286.8608 
 2019-07-31 18:00:00 27.3082 58.2776     30 temperature 286.8608 
 2019-07-31 18:00:00 27.3082 58.2776     50 temperature 286.7031 
 2019-07-31 18:00:00 27.3082 58.2776     70 temperature 286.5349 
 2019-07-31 18:00:00 27.3082 58.2776     90 temperature 286.3668 
 2019-07-31 18:00:00 27.3082 58.2776    110 temperature 286.1965 
 2019-07-31 18:00:00 27.3082 58.2776    160 temperature 285.7688 
 2019-07-31 18:00:00 27.3082 58.2776    300 temperature 284.5256 
 2019-07-31 18:00:00 27.3082 58.2776    600 temperature 281.7684 
 2019-07-31 18:00:00 27.3082 58.2776   1400 temperature 281.0032 
 2019-07-31 18:00:00 27.3082 58.2776   3000 temperature 275.6788 
 2019-07-31 18:00:00 27.3082 58.2776      0  temp_2m 286.0706 
 2019-07-31 18:00:00 27.3082 58.2776     10 pot_temp 287.4857 
 2019-07-31 18:00:00 27.3082 58.2776     30 pot_temp 287.4857 
 2019-07-31 18:00:00 27.3082 58.2776     50 pot_temp 287.5111 
 2019-07-31 18:00:00 27.3082 58.2776     70 pot_temp 287.5383 
 2019-07-31 18:00:00 27.3082 58.2776     90 pot_temp 287.5654 
 2019-07-31 18:00:00 27.3082 58.2776    110 pot_temp 287.5904 
 2019-07-31 18:00:00 27.3082 58.2776    160 pot_temp  287.651 
 2019-07-31 18:00:00 27.3082 58.2776    300 pot_temp 287.7752 
 2019-07-31 18:00:00 27.3082 58.2776    600 pot_temp 287.9483 
 2019-07-31 18:00:00 27.3082 58.2776   1400 pot_temp 295.2953 
 2019-07-31 18:00:00 27.3082 58.2776   3000 pot_temp 306.3792 
 2019-07-31 18:00:00 27.3082 58.2776     10   U_wind 2.402008 
 2019-07-31 18:00:00 27.3082 58.2776     30   U_wind 2.402008 
 2019-07-31 18:00:00 27.3082 58.2776     50   U_wind 2.558126 
 2019-07-31 18:00:00 27.3082 58.2776     70   U_wind 2.724507 
 2019-07-31 18:00:00 27.3082 58.2776     90   U_wind 2.890888 
 2019-07-31 18:00:00 27.3082 58.2776    110   U_wind 2.997621 
 2019-07-31 18:00:00 27.3082 58.2776    160   U_wind 3.221725 
 2019-07-31 18:00:00 27.3082 58.2776    300   U_wind 3.400226 
 2019-07-31 18:00:00 27.3082 58.2776    600   U_wind 3.360155 
 2019-07-31 18:00:00 27.3082 58.2776   1400   U_wind 3.237244 
